variable,HR,HR_lower95,HR_upper95,p
averageRating,0.983960223093852,0.9814693712646968,0.9864573964069132,7.121168020274928e-36
log_numVotes,1.0940214645722204,1.0899999012630937,1.0980578654711768,0.0
log_numEpisodes,1.0338707922745252,1.0294788888554338,1.0382814321785034,4.381358254084762e-53
dec_1940,4.357351485958183,3.910966124927178,4.854685866790908,5.85314947683094e-157
dec_1950,3.9336039561773353,3.755955688649008,4.1196545877301345,0.0
dec_1960,3.8754998543411983,3.7254485284229335,4.031594855333229,0.0
dec_1970,1.9973756586204692,1.9289308133399423,2.0682491533958753,0.0
dec_1980,1.5042015013098886,1.4592474839797611,1.5505403856322868,2.7905712860657275e-153
dec_1990,1.476711276126035,1.4402521667308117,1.5140933257456153,3.8507940355994547e-205
dec_2000,1.0532230745102646,1.03105000492509,1.0758729832521055,1.7817930553453977e-06
dec_2010,0.8113968749575511,0.7959694936170228,0.8271232678769584,4.9161300742413925e-101
dec_2020,0.6664108479073653,0.6508809199853052,0.6823113177424834,1.764211262187299e-249
genre__Comedy,1.1120773378566928,1.093616921967513,1.1308493683048246,1.6163107056343714e-35
genre__Drama,1.3002962836389027,1.2752487537366852,1.3258357793261204,2.761270921316953e-154
genre__Documentary,0.8692002398587277,0.8498987167168015,0.8889401079331392,2.0177985452499237e-34
genre__Talk-Show,1.1393842849899447,1.1131476298396132,1.1662393325754077,4.8537793778237505e-28
genre__Reality-TV,0.821306540055828,0.799874607431921,0.8433127223580321,3.1407390099218325e-48
genre__Family,1.1759482534408487,1.147073660513228,1.2055496890686697,2.1809742484182182e-37
genre__Animation,1.3062409572959888,1.2713314475289468,1.3421090478285296,3.015394884539694e-83
genre__Music,1.199332257636248,1.162819672899002,1.2369913390103036,1.0099018881425095e-30
genre__News,0.874969406993798,0.8438577214259352,0.9072281306870429,4.802731030358119e-13
genre__Adventure,1.3059791142112998,1.2651022973379698,1.348176705034066,7.892075333301873e-61
